data_id,product_id,store_id,price,price_per_unit,unit,date_of_price,created_time
612,432,3,2.99,0.15,1ea,1713326400000,1713508002240
613,176,3,3.99,0.09,100ml,1713326400000,1713508002245
614,325,3,0.88,0.09,100ml,1713326400000,1713508002250
615,429,3,2.99,0.19,100ml,1713326400000,1713508002254
616,433,3,2.99,9.34,100g,1713326400000,1713508002256
617,328,3,0.88,0.09,100ml,1713326400000,1713508002259
618,434,3,2.99,0.15,100ml,1713326400000,1713508002261
619,435,3,2.99,0.12,1ea,1713326400000,1713508002264
620,437,3,3.99,0.42,100ml,1713326400000,1713508002266
621,436,3,2.99,0.15,1ea,1713326400000,1713508002269
622,168,3,3.99,0.09,100ml,1713326400000,1713508002272
623,438,3,2.99,0.15,1ea,1713326400000,1713508002274
624,439,3,13.99,0.47,1ea,1713326400000,1713508002277
625,441,3,13.99,1.54,100g,1713326400000,1713508002280
626,179,3,2.99,0.12,1ea,1713326400000,1713508002282
627,443,3,3.99,0.42,100ml,1713326400000,1713508002285
628,440,3,2.99,0.15,1ea,1713326400000,1713508002288
629,442,3,13.99,0.47,1ea,1713326400000,1713508002290
630,165,3,3.99,0.09,100ml,1713326400000,1713508002293
631,476,3,1.25,0.25,100ml,1713326400000,1713508002297
632,446,3,2.99,7.48,100g,1713326400000,1713508002300
633,348,3,0.88,0.09,100ml,1713326400000,1713508002303
634,157,3,3.99,0.09,100ml,1713326400000,1713508002306
635,447,3,2.99,0.15,1ea,1713326400000,1713508002309
636,448,3,13.99,0.47,1ea,1713326400000,1713508002312
637,444,3,2.99,0.15,1ea,1713326400000,1713508002314
638,445,3,1.25,0.31,100ml,1713326400000,1713508002317
639,449,3,9.99,0.32,1ea,1713326400000,1713508014595
640,477,3,3.99,0.57,100ml,1713326400000,1713508014598
641,450,3,6.99,0.23,1ea,1713326400000,1713508014601
642,451,3,7.99,0.53,1ea,1713326400000,1713508014604
643,452,3,9.99,0.43,1ea,1713326400000,1713508014607
644,363,3,0.88,0.88,ea,1713326400000,1713508014611
645,453,3,9.99,0.33,1ea,1713326400000,1713508014614
646,454,3,9.99,0.25,1ea,1713326400000,1713508014618
647,456,3,3.99,0.28,100ml,1713326400000,1713508014622
648,454,3,9.99,9.99,1ea,1713326400000,1713508014630
649,455,3,6.99,0.17,1ea,1713326400000,1713508014640
650,457,3,13.99,0.35,100ml,1713326400000,1713508014649
651,449,3,9.99,0.32,1ea,1713326400000,1713508014656
652,459,3,6.99,0.44,1ea,1713326400000,1713508014662
653,460,3,1,0.17,100g,1713326400000,1713508014667
654,461,3,6.99,0.35,1ea,1713326400000,1713508014673
655,462,3,9.99,0.32,1ea,1713326400000,1713508014678
656,360,3,9.99,0.38,100ml,1713326400000,1713508014683
657,478,3,3.99,0.57,100ml,1713326400000,1713508014688
658,458,3,9.99,0.05,1ea,1713326400000,1713508014692
659,454,3,9.99,0.18,1ea,1713326400000,1713508014696
660,463,3,6.99,0.25,1ea,1713326400000,1713508014701
898,479,3,4.35,1.99,1lb,1713931200000,1714122253672
899,482,3,3.99,0.36,1ea,1713931200000,1714122253675
900,480,3,2.99,1.5,1ea,1713931200000,1714122253678
